# ell  TT    EE    TE
2.000000000000000000e+00 1.067663309767063765e+03 3.331784314193421415e-02 2.812808574182582344e+00
3.000000000000000000e+00 5.052470490464932595e+02 2.231051503515844164e-02 1.612987402862425146e+00
4.000000000000000000e+00 2.867528631346586963e+02 1.247849124329905406e-02 9.277307806567214321e-01
5.000000000000000000e+00 1.828687016862510006e+02 6.219277721680266380e-03 5.424772664451495974e-01
6.000000000000000000e+00 1.264709985606792344e+02 2.856473719014469923e-03 3.227236038857390077e-01
7.000000000000000000e+00 9.279444929944290266e+01 1.269155258171122827e-03 1.966923247724073343e-01
8.000000000000000000e+00 7.119261943107649415e+01 5.904235376836948447e-04 1.242618264453054511e-01
9.000000000000000000e+00 5.654223122771453092e+01 3.164825340996165674e-04 8.269885035103514970e-02
1.000000000000000000e+01 4.615001642783988700e+01 2.033008998644739596e-04 5.889380331499884103e-02
1.100000000000000000e+01 3.851803549311436115e+01 1.482729549368728690e-04 4.520640559404970338e-02
1.200000000000000000e+01 3.274528326229925312e+01 1.161881910943801807e-04 3.716289658636903748e-02
1.300000000000000000e+01 2.826503562891356935e+01 9.511512580205608238e-05 3.220489982624836350e-02
1.400000000000000000e+01 2.470732207206595277e+01 8.184829804334192531e-05 2.892350518805424792e-02
1.500000000000000000e+01 2.184123789689903461e+01 7.420147963563145381e-05 2.657534430635282580e-02
1.600000000000000000e+01 1.949719448269953048e+01 7.109531852833891441e-05 2.475339287034893435e-02
1.700000000000000000e+01 1.754607067875372195e+01 7.074645699548236678e-05 2.325264599084701789e-02
1.800000000000000000e+01 1.590475078343445681e+01 7.280361255824482425e-05 2.198185021445608900e-02
1.900000000000000000e+01 1.451259512723666667e+01 7.608078093626621861e-05 2.088110587025531623e-02
2.000000000000000000e+01 1.331688292151628517e+01 8.083811808448755577e-05 1.989851571013048423e-02
2.100000000000000000e+01 1.228327910491227115e+01 8.605411547404129876e-05 1.900214189313264787e-02
2.200000000000000000e+01 1.138339840430438343e+01 9.182560223705363842e-05 1.816753895250796877e-02
2.300000000000000000e+01 1.059426897211099750e+01 9.778342263352094886e-05 1.738027151104365106e-02
2.400000000000000000e+01 9.896113024424057159e+00 1.043368421929062329e-04 1.662960261032788226e-02
2.500000000000000000e+01 9.276515606561575922e+00 1.108324963941498910e-04 1.590957887758918249e-02
2.600000000000000000e+01 8.724855128143701677e+00 1.176459345315518645e-04 1.521519369008276709e-02
2.700000000000000000e+01 8.230320626935297312e+00 1.246060912099910634e-04 1.454044383954058300e-02
2.800000000000000000e+01 7.783113882683077023e+00 1.316686615281760563e-04 1.387999850498840802e-02
2.900000000000000000e+01 7.377677015074247002e+00 1.387209940741912083e-04 1.323221300017281971e-02
3.000000000000000000e+01 7.009512228788707056e+00 1.460266489176930999e-04 1.259636417253609010e-02
3.100000000000000000e+01 6.674263515165789862e+00 1.533713451826908812e-04 1.197142664283051827e-02
3.200000000000000000e+01 6.368142012241389871e+00 1.607553004282060501e-04 1.135516612509967008e-02
